feedback_id,timestamp,owner_id,user_id,feedback_type,feedback_score,realtor_notes,match_quality_rating,showing_outcome,suggested_adjustments
<<<<<<< HEAD
fb_b1c5e6c4,2025-08-13T18:53:04Z,565a5fac-51bd-a859-f390-f1a56ebb7842,b603d059-1ef1-ed03-edbf-03439548db8b,positive,4.7,User loved the neighborhood vibe and local amenities,5,leased,Age of building should factor into matching
fb_72487036,2025-08-13T19:24:04Z,967aae23-0596-e87a-1d1b-08c915cdc090,4938f684-d5c5-2c75-9363-6a1c39afd951,positive,4.6,Excellent lifestyle match - young professional area,4,toured,Current matching speed is good
fb_a377339c,2025-08-13T19:49:04Z,a47ccb96-4982-e667-f577-f36405fb0496,829c14af-6f7d-9606-a92e-e9bcb3f6c0c2,negative,1.4,User's work schedule conflicts with showing times,2,declined,Availability matching needs more flexibility
fb_0db2655d,2025-08-14T01:35:04Z,718bd1c9-bdac-480b-97f5-ae573e5e5cda,8665e538-db03-d376-004e-30060a8a2134,positive,3.7,Good space layout met user requirements,4,toured,Increase weight on location preferences
fb_0a425950,2025-08-14T04:01:04Z,dd9ea5e8-1a29-f4d7-88f0-6363a603311f,9f6cf6b9-f9b5-8e3b-e400-afd0ac39b480,positive,3.6,Perfect match - user specifically wanted garden access,4,scheduled,Shopping centers should factor into matching
fb_37499020,2025-08-14T04:06:04Z,cc2ad0d5-e1b5-b4cb-c078-9e8a132bbfb8,6c1a808a-e403-fb75-3fe0-d7440d76307a,positive,4.2,Good match overall with minor preferences met,5,leased,Current matching speed is good
fb_2857181e,2025-08-14T05:03:04Z,55b3b155-9a63-78f7-9b93-43f6682d2ebf,aad157ab-678b-fbbe-3519-486519be6bc2,negative,1.3,Location didn't meet user's commute requirements,2,declined,Bedroom count should be strictly enforced
fb_da9e19cb,2025-08-14T19:42:04Z,90381a03-1cf5-bf81-3f13-6808f622e751,cbe23d2c-fbee-5867-2231-fcf76e738e98,positive,3.9,Outstanding match - user signed lease immediately,5,toured,Current matching speed is good
fb_97276124,2025-08-14T20:50:04Z,53fe4565-3afc-7299-e928-43037471bb70,c578f65a-2672-77a1-e75b-8e80c7fbe412,negative,1.6,User complained about commute time not being considered,2,declined,Parking is make-or-break for many users
fb_1dc4424d,2025-08-14T22:11:04Z,ba24e223-a713-90e5-34ab-17ad274cf5d6,57eb89a8-daa4-e021-f98c-0dbaca0f6156,positive,4.2,Excellent match - user loved the location and amenities,5,scheduled,Demographic matching is working well
fb_7a23d0b6,2025-08-14T22:54:04Z,2578c0dd-6c11-6fd7-b112-c62f4312723c,c532c12b-00f4-4be6-7c46-f1418c7b20a5,positive,3.6,Perfect match - user specifically wanted garden access,5,toured,Neighborhood character matching is effective
fb_58aa87ef,2025-08-14T23:07:04Z,587db615-c4a1-d299-57ec-6cd4b01284af,b87701cb-edd9-4853-c0ab-aac8c7d21d8c,positive,3.9,Perfect match - user specifically wanted garden access,5,toured,Garden/outdoor access matching is excellent
fb_70457404,2025-08-15T01:15:04Z,01179705-5b99-02ba-3ef1-fc89b4639185,9ca0b2c0-a296-cd12-fab5-34edeef35b3a,negative,1,User's family size didn't fit - needed more bedrooms,2,toured,Need to incorporate transportation/commute preferences
fb_9b5f962f,2025-08-15T05:26:04Z,81dea5d6-e718-60e5-f1ce-1d3859c1712f,9c504620-ae6d-9bc7-7554-ad5c8978d453,positive,4.8,Excellent lifestyle match - young professional area,5,toured,Shopping centers should factor into matching
fb_301141b8,2025-08-15T19:03:04Z,2497854e-2e73-0ce9-0248-662a102b55f6,b222c70e-08ba-0212-fc0d-7d6b45a5b64b,positive,4.5,Excellent match - user loved the location and amenities,4,toured,Increase weight on location preferences
fb_4f07be53,2025-08-16T04:22:04Z,9b351a66-53f3-645d-76de-0187fa402254,703509d6-a1f5-916d-115f-3b97c3a58909,positive,4.6,Perfect match - user specifically wanted garden access,4,leased,Age of building should factor into matching
fb_77c3482f,2025-08-16T18:53:04Z,31d4c2c8-9af0-1264-10a5-f1cab327788f,74fdfef5-4f16-42b8-931f-e0ed8e6c67a1,negative,2.3,User wanted furnished but property was unfurnished,2,declined,Parking is make-or-break for many users
fb_35202514,2025-08-16T19:53:04Z,a848f0f1-b8bc-467b-5a16-b12bca110032,a0415e16-fa06-2665-0800-c80cc5adff23,positive,3.9,Great match - user found exactly what they needed,4,toured,Age of building should factor into matching
fb_4e89ab91,2025-08-17T03:49:04Z,ac622b34-eeb8-bce5-c9e3-592ff08df868,a2655894-df46-5243-576b-6308622d7e55,positive,3.8,Good match overall with minor preferences met,3,scheduled,Shopping centers should factor into matching
fb_e683a363,2025-08-17T20:53:04Z,2f45531b-2c5d-b909-a957-8b7806b0ccbb,e2f465ad-68a4-e3eb-8acd-16cc70d06dd0,positive,4.1,Outstanding match - user signed lease immediately,3,leased,Neighborhood character matching is effective
fb_0c6ef413,2025-08-17T22:19:04Z,b4ee16da-484a-c326-05ce-be05e57dc10d,337c4fb4-b4d7-cab2-7507-5a4cd02290d7,positive,4.9,Excellent match - user loved the location and amenities,5,leased,Demographic matching is working well
fb_96a08b0f,2025-08-17T22:25:04Z,aa47b997-a606-8c36-d427-08021a05af1f,0f11e2cf-b434-4085-3f8f-ec983bb19f17,positive,4.2,Perfect lifestyle match - quiet neighborhood request met,3,leased,Current matching speed is good
fb_5bc58026,2025-08-18T05:03:04Z,23487dd1-85e7-069d-dc58-63456737c181,cf1c52b6-c08c-0605-5aaf-844d640a44c6,positive,3.8,User loved the neighborhood vibe and local amenities,3,scheduled,Maintain current soft attribute weighting
fb_c955637f,2025-08-18T20:21:04Z,b560497a-4b73-13af-4010-ade05567043d,0f326a97-aff9-24d0-8be7-f17f831824fd,positive,4.4,User appreciated quick response and good communication,5,toured,Storage space should be weighted higher
fb_7d62266c,2025-08-18T22:16:04Z,4042e832-ac0b-17d2-3d4d-c427c80d45b6,89af9afc-85c4-05ea-4f55-8e9fa50ad88a,positive,4.3,Perfect match - user specifically wanted garden access,4,scheduled,Increase weight on location preferences
fb_c456c196,2025-08-18T22:38:04Z,b7c16e5a-1e31-d312-08f6-d7540997a1e5,a67f54da-23be-f93f-30c3-f9e8dde4416e,negative,2.8,User's family size didn't fit - needed more bedrooms,3,declined,Accessibility requirements not properly weighted
fb_37c5e5f3,2025-08-19T00:16:04Z,e190ade6-9e8e-23b6-b1c8-505fdd3ba136,80388ad2-891a-c1e5-0087-7fd3fa79e1e7,positive,4.1,User appreciated quick response and good communication,4,toured,Garden/outdoor access matching is excellent
fb_b4bbb3e5,2025-08-19T01:05:04Z,8065bd48-b3cf-24a8-2424-5ef22402cd59,853f528f-5b3b-bfc8-919f-add3fb89f5c0,positive,4.4,Good space layout met user requirements,4,toured,Storage space should be weighted higher
fb_8cf893cb,2025-08-19T02:11:04Z,c02881b4-a44d-897a-548b-943c0d817b52,061a4fdd-c287-ea50-282b-3fb79fbfd1f3,negative,2.3,User needed parking but property had none,3,declined,Commute time analysis needs improvement
fb_5e148442,2025-08-19T02:16:04Z,2d847c78-563e-48b3-c343-cf74cfe82f3c,aef79f9c-b6b8-9118-193a-ae55d4355d44,positive,3.9,User loved the neighborhood vibe and local amenities,4,scheduled,This weighting works perfectly for pet-friendly requests
fb_5d2d7f67,2025-08-19T22:56:19Z,60446be8-4f01-1652-f10a-a8e3d06ca4f3,2670ac73-584f-0278-de89-d655434120d7,positive,2.2,great match,4,toured,
=======
fb_b1c5e6c4,2025-08-13T18:53:04Z,565a5fac-51bd-a859-f390-f1a56ebb7842,b603d059-1ef1-ed03-edbf-03439548db8b,positive,4.7,User loved the neighborhood vibe and local amenities,5,leased,Property offers unique value proposition for users
fb_72487036,2025-08-13T19:24:04Z,967aae23-0596-e87a-1d1b-08c915cdc090,4938f684-d5c5-2c75-9363-6a1c39afd951,positive,4.6,Excellent lifestyle match - young professional area,4,toured,Location amenities create positive user experience
fb_a377339c,2025-08-13T19:49:04Z,a47ccb96-4982-e667-f577-f36405fb0496,829c14af-6f7d-9606-a92e-e9bcb3f6c0c2,negative,1.4,User's work schedule conflicts with showing times,2,declined,Property timing conflicts with user availability needs
fb_0db2655d,2025-08-14T01:35:04Z,718bd1c9-bdac-480b-97f5-ae573e5e5cda,8665e538-db03-d376-004e-30060a8a2134,positive,3.7,Good space layout met user requirements,4,toured,Garden access is key selling point for this property
fb_0a425950,2025-08-14T04:01:04Z,dd9ea5e8-1a29-f4d7-88f0-6363a603311f,9f6cf6b9-f9b5-8e3b-e400-afd0ac39b480,positive,3.6,Perfect match - user specifically wanted garden access,4,scheduled,Property layout ideal for families with specific needs
fb_37499020,2025-08-14T04:06:04Z,cc2ad0d5-e1b5-b4cb-c078-9e8a132bbfb8,6c1a808a-e403-fb75-3fe0-d7440d76307a,positive,4.2,Good match overall with minor preferences met,5,leased,Building age appeals to certain user demographics
fb_2857181e,2025-08-14T05:03:04Z,55b3b155-9a63-78f7-9b93-43f6682d2ebf,aad157ab-678b-fbbe-3519-486519be6bc2,negative,1.3,Location didn't meet user's commute requirements,2,declined,Property timing conflicts with user availability needs
fb_da9e19cb,2025-08-14T19:42:04Z,90381a03-1cf5-bf81-3f13-6808f622e751,cbe23d2c-fbee-5867-2231-fcf76e738e98,positive,3.9,Outstanding match - user signed lease immediately,5,toured,Property offers unique value proposition for users
fb_97276124,2025-08-14T20:50:04Z,53fe4565-3afc-7299-e928-43037471bb70,c578f65a-2672-77a1-e75b-8e80c7fbe412,negative,1.6,User complained about commute time not being considered,2,declined,Bedroom count mismatch affects family suitability
fb_1dc4424d,2025-08-14T22:11:04Z,ba24e223-a713-90e5-34ab-17ad274cf5d6,57eb89a8-daa4-e021-f98c-0dbaca0f6156,positive,4.2,Excellent match - user loved the location and amenities,5,scheduled,Location amenities create positive user experience
fb_7a23d0b6,2025-08-14T22:54:04Z,2578c0dd-6c11-6fd7-b112-c62f4312723c,c532c12b-00f4-4be6-7c46-f1418c7b20a5,positive,3.6,Perfect match - user specifically wanted garden access,5,toured,Neighborhood character strongly matches user preferences
fb_58aa87ef,2025-08-14T23:07:04Z,587db615-c4a1-d299-57ec-6cd4b01284af,b87701cb-edd9-4853-c0ab-aac8c7d21d8c,positive,3.9,Perfect match - user specifically wanted garden access,5,toured,Property layout ideal for families with specific needs
fb_70457404,2025-08-15T01:15:04Z,01179705-5b99-02ba-3ef1-fc89b4639185,9ca0b2c0-a296-cd12-fab5-34edeef35b3a,negative,1,User's family size didn't fit - needed more bedrooms,2,toured,Property timing conflicts with user availability needs
fb_9b5f962f,2025-08-15T05:26:04Z,81dea5d6-e718-60e5-f1ce-1d3859c1712f,9c504620-ae6d-9bc7-7554-ad5c8978d453,positive,4.8,Excellent lifestyle match - young professional area,5,toured,Communication efficiency boosts property success
fb_301141b8,2025-08-15T19:03:04Z,2497854e-2e73-0ce9-0248-662a102b55f6,b222c70e-08ba-0212-fc0d-7d6b45a5b64b,positive,4.5,Excellent match - user loved the location and amenities,4,toured,Quick response times enhance property appeal
fb_4f07be53,2025-08-16T04:22:04Z,9b351a66-53f3-645d-76de-0187fa402254,703509d6-a1f5-916d-115f-3b97c3a58909,positive,4.6,Perfect match - user specifically wanted garden access,4,leased,Property positioning attracts intended market segment
fb_77c3482f,2025-08-16T18:53:04Z,31d4c2c8-9af0-1264-10a5-f1cab327788f,74fdfef5-4f16-42b8-931f-e0ed8e6c67a1,negative,2.3,User wanted furnished but property was unfurnished,2,declined,Family space requirements not met by current layout
fb_35202514,2025-08-16T19:53:04Z,a848f0f1-b8bc-467b-5a16-b12bca110032,a0415e16-fa06-2665-0800-c80cc5adff23,positive,3.9,Great match - user found exactly what they needed,4,toured,Building age appeals to certain user demographics
fb_4e89ab91,2025-08-17T03:49:04Z,ac622b34-eeb8-bce5-c9e3-592ff08df868,a2655894-df46-5243-576b-6308622d7e55,positive,3.8,Good match overall with minor preferences met,3,scheduled,Neighborhood character strongly matches user preferences
fb_e683a363,2025-08-17T20:53:04Z,2f45531b-2c5d-b909-a957-8b7806b0ccbb,e2f465ad-68a4-e3eb-8acd-16cc70d06dd0,positive,4.1,Outstanding match - user signed lease immediately,3,leased,Garden access is key selling point for this property
fb_0c6ef413,2025-08-17T22:19:04Z,b4ee16da-484a-c326-05ce-be05e57dc10d,337c4fb4-b4d7-cab2-7507-5a4cd02290d7,positive,4.9,Excellent match - user loved the location and amenities,5,leased,Property layout ideal for families with specific needs
fb_96a08b0f,2025-08-17T22:25:04Z,aa47b997-a606-8c36-d427-08021a05af1f,0f11e2cf-b434-4085-3f8f-ec983bb19f17,positive,4.2,Perfect lifestyle match - quiet neighborhood request met,3,leased,Property offers unique value proposition for users
fb_5bc58026,2025-08-18T05:03:04Z,23487dd1-85e7-069d-dc58-63456737c181,cf1c52b6-c08c-0605-5aaf-844d640a44c6,positive,3.8,User loved the neighborhood vibe and local amenities,3,scheduled,Garden access is key selling point for this property
fb_c955637f,2025-08-18T20:21:04Z,b560497a-4b73-13af-4010-ade05567043d,0f326a97-aff9-24d0-8be7-f17f831824fd,positive,4.4,User appreciated quick response and good communication,5,toured,Lifestyle match creates strong user satisfaction
fb_7d62266c,2025-08-18T22:16:04Z,4042e832-ac0b-17d2-3d4d-c427c80d45b6,89af9afc-85c4-05ea-4f55-8e9fa50ad88a,positive,4.3,Perfect match - user specifically wanted garden access,4,scheduled,Property appeals to young professionals seeking quiet neighborhoods
fb_c456c196,2025-08-18T22:38:04Z,b7c16e5a-1e31-d312-08f6-d7540997a1e5,a67f54da-23be-f93f-30c3-f9e8dde4416e,negative,2.8,User's family size didn't fit - needed more bedrooms,3,declined,Property timing conflicts with user availability needs
fb_37c5e5f3,2025-08-19T00:16:04Z,e190ade6-9e8e-23b6-b1c8-505fdd3ba136,80388ad2-891a-c1e5-0087-7fd3fa79e1e7,positive,4.1,User appreciated quick response and good communication,4,toured,Property offers unique value proposition for users
